Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",,,,,,,9,9,9,5,102,3,94,13,,,,,1,4,9,,1,,,,0,0,,,,4,,,3,,0,0,1,,447,19,394,53,324,75,,,,,,302,342,60,,282,,,,,,35,35,35,18,,,6,,,,0.19,39,39,39,21
Class,"AccessFlags",0,2,0,11,188,11,1,1,1,1,2,0,2,0,0,3,,6,,0,0,,,,,,69,1,0,1,0,69,69,22,,0,0,0,69,,204,11,186,67,135,11,0,2,,,,,224,101,2,121,,,,,,19,19,19,1,,0,1,,88,,0.06,96,86,96,64
Public Const Function,"AccessFlags::ACC_ABSTRACT",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_ANNOTATION",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_BRIDGE",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_ENUM",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_FINAL",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_INTERFACE",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_NATIVE",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_PRIVATE",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Const Function,"AccessFlags::ACC_PROTECTED",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,1,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
